,day,process,USD,H,Hprice,B,Bprice,Hx1,Bx2
0,0,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
41,41,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
64,64,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
65,65,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
66,66,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
