,Date,Value,USD (PM)
0,9/11/16,621.65,1324.6
1,9/12/16,609.67,1324.6
2,9/13/16,610.92,1323.65
3,9/14/16,608.82,1321.75
4,9/15/16,610.38,1310.8
5,9/16/16,609.11,1308.35
6,9/17/16,607.04,1308.35
7,9/18/16,611.58,1308.35
8,9/19/16,610.19,1314.85
9,9/20/16,608.66,1313.8
10,9/21/16,598.88,1326.1
11,9/22/16,597.42,1339.1
12,9/23/16,594.08,1338.65
13,9/24/16,603.88,1338.65
14,9/25/16,601.74,1338.65
15,9/26/16,598.98,1340.5
16,9/27/16,605.96,1327.0
17,9/28/16,605.67,1322.5
18,9/29/16,603.85,1318.1
19,9/30/16,609.39,1322.5
20,10/1/16,614.82,1322.5
21,10/2/16,612.98,1322.5
22,10/3/16,611.85,1313.3
23,10/4/16,609.62,1283.3
24,10/5/16,607.18,1269.4
25,10/6/16,612.08,1254.5
26,10/7/16,617.21,1258.75
27,10/8/16,614.74,1258.75
28,10/9/16,615.65,1258.75
29,10/10/16,617.54,1259.5
30,10/11/16,614.77,1253.45
31,10/12/16,635.01,1256.5
32,10/13/16,635.96,1261.05
33,10/14/16,634.02,1251.75
34,10/15/16,637.94,1251.75
35,10/16/16,641.42,1251.75
36,10/17/16,638.97,1254.8
37,10/18/16,636.29,1258.2
38,10/19/16,629.25,1269.05
39,10/20/16,627.72,1271.65
40,10/21/16,631.92,1266.05
41,10/22/16,655.48,1266.05
42,10/23/16,653.25,1266.05
43,10/24/16,651.39,1265.55
44,10/25/16,655.31,1269.4
45,10/26/16,651.45,1270.5
46,10/27/16,682.22,1266.25
47,10/28/16,687.68,1273.0
48,10/29/16,685.91,1273.0
49,10/30/16,698.0,1273.0
50,10/31/16,702.0,1272.0
51,11/1/16,697.01,1288.45
52,11/2/16,733.33,1303.75
53,11/3/16,686.17,1301.0
54,11/4/16,683.69,1302.8
55,11/5/16,704.79,1302.8
56,11/6/16,712.0,1302.8
57,11/7/16,709.96,1283.05
58,11/8/16,708.97,1282.35
59,11/9/16,720.93,1281.4
60,11/10/16,721.5,1267.5
61,11/11/16,715.45,1236.45
62,11/12/16,703.71,1236.45
63,11/13/16,702.28,1236.45
64,11/14/16,706.46,1213.6
65,11/15/16,710.91,1226.95
66,11/16/16,711.73,1229.2
67,11/17/16,736.96,1226.75
68,11/18/16,747.52,1211.0
69,11/19/16,748.98,1211.0
70,11/20/16,729.06,1211.0
71,11/21/16,738.53,1214.25
72,11/22/16,736.97,1212.25
73,11/23/16,741.63,1185.35
74,11/24/16,737.45,1186.1
75,11/25/16,735.64,1187.7
76,11/26/16,733.67,1187.7
77,11/27/16,727.96,1187.7
78,11/28/16,727.31,1187.0
79,11/29/16,732.71,1186.55
80,11/30/16,742.69,1178.1
81,12/1/16,742.05,1161.85
82,12/2/16,772.43,1173.5
83,12/3/16,764.33,1173.5
84,12/4/16,762.97,1173.5
85,12/5/16,754.63,1162.2
86,12/6/16,756.62,1172.5
87,12/7/16,758.99,1177.65
88,12/8/16,769.72,1171.05
89,12/9/16,770.02,1163.6
90,12/10/16,769.08,1163.6
91,12/11/16,777.0,1163.6
92,12/12/16,777.0,1156.1
93,12/13/16,777.99,1158.55
94,12/14/16,774.89,1162.25
95,12/15/16,776.75,1126.95
96,12/16/16,775.88,1131.6
97,12/17/16,788.7,1131.6
98,12/18/16,788.4,1131.6
99,12/19/16,788.67,1136.25
100,12/20/16,793.09,1125.7
101,12/21/16,824.21,1133.65
102,12/22/16,834.97,1131.35
103,12/23/16,901.31,1132.975
104,12/24/16,891.61,1132.975
105,12/25/16,892.6,1132.975
106,12/26/16,897.33,1132.975
107,12/27/16,930.37,1132.975
108,12/28/16,930.34,1134.6
109,12/29/16,963.38,1145.9
110,12/30/16,952.15,1148.45
111,12/31/16,958.12,1148.45
112,1/1/17,997.72,1148.45
113,1/2/17,1015.97,1148.45
114,1/3/17,1013.42,1151.0
115,1/4/17,1126.76,1164.25
116,1/5/17,994.67,1176.7
117,1/6/17,999.65,1175.85
118,1/7/17,896.83,1175.85
119,1/8/17,908.14,1175.85
120,1/9/17,910.49,1178.5
121,1/10/17,906.05,1189.5
122,1/11/17,785.22,1178.55
123,1/12/17,780.92,1205.05
124,1/13/17,826.29,1190.35
125,1/14/17,817.91,1190.35
126,1/15/17,819.55,1190.35
127,1/16/17,830.5,1203.0
128,1/17/17,903.84,1216.05
129,1/18/17,906.6,1214.75
130,1/19/17,895.798875,1196.05
131,1/20/17,893.6210875,1200.55
132,1/21/17,895.64,1200.55
133,1/22/17,918.603625,1200.55
134,1/23/17,922.0736125,1212.85
135,1/24/17,919.97,1216.8
136,1/25/17,893.045625,1195.0
137,1/26/17,915.95625,1189.7
138,1/27/17,915.05,1184.85
139,1/28/17,920.31225,1184.85
140,1/29/17,915.933,1184.85
141,1/30/17,912.19,1192.8
142,1/31/17,964.706075,1212.8
143,2/1/17,979.703875,1203.65
144,2/2/17,983.42,1221.95
145,2/3/17,1013.0269999999999,1215.2
146,2/4/17,1030.999413,1215.2
147,2/5/17,1034.07,1215.2
148,2/6/17,1024.01375,1226.75
149,2/7/17,1050.11,1231.0
150,2/8/17,1052.84,1242.1
151,2/9/17,976.1030000000001,1236.8
152,2/10/17,999.1035,1228.3
153,2/11/17,997.59,1228.3
154,2/12/17,1000.604625,1228.3
155,2/13/17,999.877375,1222.25
156,2/14/17,1001.2,1230.75
157,2/15/17,1012.325988,1224.4
158,2/16/17,1035.208125,1240.55
159,2/17/17,1035.2,1241.95
160,2/18/17,1056.637138,1241.95
161,2/19/17,1052.779286,1241.95
162,2/20/17,1050.87,1237.3
163,2/21/17,1123.788429,1233.2
164,2/22/17,1123.2231880000002,1236.65
165,2/23/17,1130.01,1247.9
166,2/24/17,1174.86625,1253.65
167,2/25/17,1150.605714,1253.65
168,2/26/17,1150.37,1253.65
169,2/27/17,1190.75195,1257.2
170,2/28/17,1187.565286,1255.6
171,3/1/17,1190.89,1240.4
172,3/2/17,1259.410817,1238.1
173,3/3/17,1285.14,1226.5
174,3/4/17,1287.0,1226.5
175,3/5/17,1270.9333,1226.5
176,3/6/17,1275.197375,1230.95
177,3/7/17,1279.5,1216.65
178,3/8/17,1157.3933,1209.2
179,3/9/17,1192.469143,1206.55
180,3/10/17,1192.09,1202.65
181,3/11/17,1179.159875,1202.65
182,3/12/17,1227.494625,1202.65
183,3/13/17,1227.68,1204.2
184,3/14/17,1245.370786,1204.6
185,3/15/17,1257.399625,1198.8
186,3/16/17,1257.0,1229.35
187,3/17/17,1091.171888,1229.6
188,3/18/17,952.2323625,1229.6
189,3/19/17,967.69,1229.6
190,3/20/17,1049.0844880000002,1232.4
191,3/21/17,1118.630043,1241.6
192,3/22/17,1113.0,1249.05
193,3/23/17,1038.789,1247.5
194,3/24/17,941.9197142999999,1247.5
195,3/25/17,927.93,1247.5
196,3/26/17,956.7863125,1247.5
197,3/27/17,1037.22925,1257.55
198,3/28/17,1041.04,1257.25
199,3/29/17,1040.5755,1251.1
200,3/30/17,1037.90455,1248.8
201,3/31/17,1034.74,1244.85
202,4/1/17,1086.9295710000001,1244.85
203,4/2/17,1099.169125,1244.85
204,4/3/17,1079.99,1247.25
205,4/4/17,1141.600363,1257.65
206,4/5/17,1133.079314,1245.8
207,4/6/17,1133.53,1252.5
208,4/7/17,1190.45425,1266.45
209,4/8/17,1181.149838,1266.45
210,4/9/17,1184.03,1266.45
211,4/10/17,1207.744875,1250.05
212,4/11/17,1226.617038,1252.9
213,4/12/17,1219.09,1274.3
214,4/13/17,1180.023713,1284.15
215,4/14/17,1185.260057,1284.15
216,4/15/17,1170.36,1284.15
217,4/16/17,1186.9274130000001,1284.15
218,4/17/17,1205.634875,1284.15
219,4/18/17,1176.97,1278.95
220,4/19/17,1217.930088,1279.05
221,4/20/17,1241.686325,1282.1
222,4/21/17,1236.63,1281.85
223,4/22/17,1261.311225,1281.85
224,4/23/17,1257.988113,1281.85
225,4/24/17,1240.84,1269.4
226,4/25/17,1279.414688,1267.8
227,4/26/17,1309.109875,1261.85
228,4/27/17,1288.02,1262.8
229,4/28/17,1331.2944289999998,1266.45
230,4/29/17,1334.9790380000002,1266.45
231,4/30/17,1333.0,1266.45
232,5/1/17,1417.1728130000001,1266.45
233,5/2/17,1452.076288,1255.45
234,5/3/17,1447.55,1250.3
235,5/4/17,1508.292125,1228.45
236,5/5/17,1533.3350710000002,1228.05
237,5/6/17,1518.75,1228.05
238,5/7/17,1535.8684289999999,1228.05
239,5/8/17,1640.619225,1229.8
240,5/9/17,1651.1,1220.4
241,5/10/17,1762.88625,1222.95
242,5/11/17,1820.9905629999998,1223.15
243,5/12/17,1829.0,1231.25
244,5/13/17,1771.920013,1231.25
245,5/14/17,1776.3165,1231.25
246,5/15/17,1780.0,1233.3
247,5/16/17,1739.031975,1234.2
248,5/17/17,1807.4850629999999,1257.4
249,5/18/17,1783.98,1255.9
250,5/19/17,1961.520488,1252.0
251,5/20/17,2052.909788,1252.0
252,5/21/17,2008.84,1252.0
253,5/22/17,2090.662313,1258.85
254,5/23/17,2287.7102879999998,1260.2
255,5/24/17,2256.32,1252.55
256,5/25/17,2387.206286,1256.95
257,5/26/17,2211.976857,1265.05
258,5/27/17,2279.82,1265.05
259,5/28/17,2192.9808,1265.05
260,5/29/17,2275.9307,1265.05
261,5/30/17,2290.02,1262.7
262,5/31/17,2285.933914,1266.2
263,6/1/17,2399.242671,1264.85
264,6/2/17,2409.93,1274.95
265,6/3/17,2525.7651579999997,1274.95
266,6/4/17,2516.173143,1274.95
267,6/5/17,2529.53,1279.95
268,6/6/17,2883.313697,1293.5
269,6/7/17,2664.920863,1291.0
270,6/8/17,2683.03,1273.1
271,6/9/17,2827.4913,1266.55
272,6/10/17,2845.372857,1266.55
273,6/11/17,2898.63,1266.55
274,6/12/17,2657.6750629999997,1266.4
275,6/13/17,2748.185086,1262.0
276,6/14/17,2706.0,1275.5
277,6/15/17,2442.48025,1254.55
278,6/16/17,2464.9598140000003,1255.4
279,6/17/17,2477.94,1255.4
280,6/18/17,2507.389252,1255.4
281,6/19/17,2617.210263,1248.15
282,6/20/17,2600.0,1242.2
283,6/21/17,2671.04325,1242.5
284,6/22/17,2727.288013,1250.8
285,6/23/17,2713.48,1255.7
286,6/24/17,2589.164888,1255.7
287,6/25/17,2512.366286,1255.7
288,6/26/17,2502.03,1245.25
289,6/27/17,2517.903114,1249.55
290,6/28/17,2585.349186,1248.0
291,6/29/17,2558.3,1243.5
292,6/30/17,2477.641375,1242.25
293,7/1/17,2501.191343,1242.25
294,7/2/17,2421.26,1242.25
295,7/3/17,2561.225429,1229.25
296,7/4/17,2599.7298379999997,1223.75
297,7/5/17,2598.89,1220.3
298,7/6/17,2609.96775,1224.9
299,7/7/17,2491.201214,1215.65
300,7/8/17,2502.86,1215.65
301,7/9/17,2536.238938,1215.65
302,7/10/17,2366.170143,1211.9
303,7/11/17,2327.09,1211.05
304,7/12/17,2385.748571,1218.8
305,7/13/17,2354.783417,1218.9
306,7/14/17,2338.49,1230.3
307,7/15/17,2058.9956,1230.3
308,7/16/17,1931.2143,1230.3
309,7/17/17,1910.96,1234.1
310,7/18/17,2320.12225,1240.75
311,7/19/17,2264.7657,1242.15
312,7/20/17,2265.21,1238.7
313,7/21/17,2682.195363,1248.55
314,7/22/17,2807.609857,1248.55
315,7/23/17,2825.51,1248.55
316,7/24/17,2751.8210289999997,1255.55
317,7/25/17,2560.997917,1254.4
318,7/26/17,2564.3,1248.1
319,7/27/17,2647.625,1261.1
320,7/28/17,2781.636583,1264.9
321,7/29/17,2784.8,1264.9
322,7/30/17,2745.955417,1264.9
323,7/31/17,2866.4316670000003,1267.55
324,8/1/17,2862.9,1270.95
325,8/2/17,2693.6339829999997,1269.6
326,8/3/17,2794.117717,1268.1
327,8/4/17,2790.0,1257.7
328,8/5/17,3218.115017,1257.7
329,8/6/17,3252.562533,1257.7
330,8/7/17,3210.2,1258.0
331,8/8/17,3457.3743329999998,1261.8
332,8/9/17,3357.326317,1271.05
333,8/10/17,3340.28,1284.4
334,8/11/17,3632.506667,1286.1
335,8/12/17,3852.802914,1286.1
336,8/13/17,3868.52,1286.1
337,8/14/17,4282.992,1282.3
338,8/15/17,4217.028329,1270.3
339,8/16/17,4179.97,1272.75
340,8/17/17,4328.725717,1285.15
341,8/18/17,4130.440067,1295.8
342,8/19/17,4104.71,1295.8
343,8/20/17,4157.958033,1295.8
344,8/21/17,4043.722,1292.9
345,8/22/17,3986.28,1284.2
346,8/23/17,4174.95,1286.65
347,8/24/17,4340.316717000001,1289.0
348,8/25/17,4331.77,1285.3
349,8/26/17,4360.513317,1285.3
350,8/27/17,4354.308333,1285.3
351,8/28/17,4339.05,1285.3
352,8/29/17,4607.98545,1318.65
353,8/30/17,4594.98785,1308.5
354,8/31/17,4582.52,1311.75
355,9/1/17,4911.740017,1320.4
356,9/2/17,4580.387479999999,1320.4
357,9/3/17,4585.57,1320.4
358,9/4/17,4344.098317,1333.1
359,9/5/17,4488.720139999999,1335.55
360,9/6/17,4385.02,1337.85
361,9/7/17,4654.6585,1343.5
362,9/8/17,4310.750183,1346.25
363,9/9/17,4312.26,1346.25
364,9/10/17,4329.955,1346.25
365,9/11/17,4248.090017,1334.2
366,9/12/17,4198.59,1326.5
367,9/13/17,3961.271267,1327.55
368,9/14/17,3319.63,1324.55
369,9/15/17,3216.43,1322.85
370,9/16/17,3763.6260399999996,1322.85
371,9/17/17,3746.060783,1322.85
372,9/18/17,3678.53,1312.1
373,9/19/17,3943.413333,1309.6
374,9/20/17,3977.5616670000004,1311.3
375,9/21/17,3894.48,1292.1
376,9/22/17,3637.50255,1294.8
377,9/23/17,3776.3869,1294.8
378,9/24/17,3777.62,1294.8
379,9/25/17,3942.555,1293.3
380,9/26/17,3910.307383,1300.05
381,9/27/17,3881.0,1282.55
382,9/28/17,4201.98905,1283.35
383,9/29/17,4193.574667,1283.1
384,9/30/17,4164.27,1283.1
385,10/1/17,4360.722967000001,1283.1
386,10/2/17,4386.88375,1273.7
387,10/3/17,4394.07,1271.25
388,10/4/17,4225.175,1274.25
389,10/5/17,4338.852,1274.5
390,10/6/17,4318.58,1261.8
391,10/7/17,4376.191667,1261.8
392,10/8/17,4602.280882999999,1261.8
393,10/9/17,4605.66,1278.75
394,10/10/17,4782.28,1291.4
395,10/11/17,4819.485767,1289.25
396,10/12/17,4822.17,1290.25
397,10/13/17,5563.8065670000005,1299.6
398,10/14/17,5739.438733,1299.6
399,10/15/17,5825.99,1299.6
400,10/16/17,5711.205867000001,1303.3
401,10/17/17,5603.712939999999,1284.75
402,10/18/17,5594.66,1280.2
403,10/19/17,5727.6335,1286.4
404,10/20/17,5979.4598399999995,1281.2
405,10/21/17,5986.44,1281.2
406,10/22/17,5983.18455,1281.2
407,10/23/17,5876.079867,1274.9
408,10/24/17,5900.59,1276.45
409,10/25/17,5669.622533,1275.0
410,10/26/17,5893.138417,1273.75
411,10/27/17,5889.82,1266.45
412,10/28/17,5776.69695,1266.45
413,10/29/17,6155.434020000001,1266.45
414,10/30/17,6136.49,1272.0
415,10/31/17,6388.645167000001,1270.15
416,11/1/17,6665.306683,1277.05
417,11/2/17,6751.98,1279.2
418,11/3/17,7197.72006,1267.2
419,11/4/17,7437.543317000001,1267.2
420,11/5/17,7365.99,1267.2
421,11/6/17,6989.071667,1270.9
422,11/7/17,7092.127233,1275.6
423,11/8/17,7128.64,1284.0
424,11/9/17,7158.03706,1284.8
425,11/10/17,6719.39785,1284.3
426,11/11/17,6569.22,1284.3
427,11/12/17,5716.3015829999995,1284.3
428,11/13/17,6550.227533,1277.95
429,11/14/17,6493.63,1274.6
430,11/15/17,7301.4299200000005,1282.2
431,11/16/17,7815.0307,1280.0
432,11/17/17,7868.77,1284.35
433,11/18/17,7817.140383,1284.35
434,11/19/17,8007.654067,1284.35
435,11/20/17,8049.72,1286.2
436,11/21/17,8059.8,1283.3
437,11/22/17,8268.035,1286.95
438,11/23/17,8236.72,1290.35
439,11/24/17,8250.978333,1290.5
440,11/25/17,8707.407267,1290.5
441,11/26/17,8768.8,1290.5
442,11/27/17,9718.29505,1294.9
443,11/28/17,9952.508820000001,1291.85
444,11/29/17,9919.0,1283.85
445,11/30/17,10147.372,1280.2
446,12/1/17,10883.912,1275.5
447,12/2/17,10879.88,1275.5
448,12/3/17,11332.622,1275.5
449,12/4/17,11584.83,1273.45
450,12/5/17,11591.22,1266.3
451,12/6/17,13540.98,1263.7
452,12/7/17,16501.97167,1255.0
453,12/8/17,16860.88,1250.65
454,12/9/17,15142.83415,1250.65
455,12/10/17,14869.805,1250.65
456,12/11/17,15068.95,1247.15
457,12/12/17,17276.393330000003,1240.9
458,12/13/17,16808.36667,1242.65
459,12/14/17,16252.31,1251.0
460,12/15/17,17771.9,1254.6
461,12/16/17,19498.68333,1254.6
462,12/17/17,19279.9,1254.6
463,12/18/17,18961.856669999997,1260.6
464,12/19/17,17737.11167,1260.35
465,12/20/17,17382.94,1264.55
466,12/21/17,16047.51,1264.55
467,12/22/17,15190.945,1271.975
468,12/23/17,13776.61,1271.975
469,12/24/17,13949.175,1271.975
470,12/25/17,14119.028330000001,1271.975
471,12/26/17,13740.94,1271.975
472,12/27/17,15589.32167,1279.4
473,12/28/17,14380.58167,1291.0
474,12/29/17,14214.01,1301.525
475,12/30/17,13215.573999999999,1301.525
476,12/31/17,14165.575,1301.525
477,1/1/18,13796.0,1301.525
478,1/2/18,15005.85667,1312.05
479,1/3/18,15053.261669999998,1314.9
480,1/4/18,15039.24,1314.5
481,1/5/18,17174.12,1317.15
482,1/6/18,17319.198,1317.15
483,1/7/18,17155.95,1317.15
484,1/8/18,15265.906669999998,1319.95
485,1/9/18,14714.253330000001,1311.0
486,1/10/18,14437.42,1319.75
487,1/11/18,13296.794,1323.05
488,1/12/18,13912.882,1326.8
489,1/13/18,13791.19,1326.8
490,1/14/18,13852.92,1326.8
491,1/15/18,14012.196000000002,1339.25
492,1/16/18,13554.14,1333.85
493,1/17/18,11116.946670000001,1335.65
494,1/18/18,11345.42333,1332.2
