,Date,process,price
0,369,-1,3216.43
1,371,1,3746.060783
2,477,-1,13796.0
3,483,1,17155.95
4,512,-1,6838.816667
5,533,1,10348.60333
6,539,-1,11430.18167
7,560,1,8617.296667
8,567,-1,6937.56
9,616,1,8507.406667
10,624,-1,7344.56
11,644,1,6464.411667
12,651,-1,6170.46
13,701,1,6347.07
14,707,-1,6404.063333
15,728,1,6286.425833
16,737,-1,6296.631667000001
17,787,1,6538.79
18,791,-1,6378.268333
19,812,1,4167.5466670000005
20,819,-1,3453.66
21,841,1,3791.5458329999997
22,847,-1,3920.4566670000004
23,868,1,3576.3
24,877,-1,3452.35
25,1092,1,10487.21
26,1103,-1,10157.59
27,1120,1,8147.69
28,1128,-1,8283.76
29,1148,1,9301.18
30,1155,-1,8809.41
31,1176,1,7557.72
32,1183,-1,7504.83
33,1261,1,9989.39
34,1267,-1,8534.17
35,1288,1,6189.85
36,1296,-1,5885.41
37,1458,1,10367.74
38,1464,-1,10330.77
39,1680,1,60087.09
40,1688,-1,49075.58
41,1708,1,46736.58
42,1716,-1,34754.54
